locality,postcode
Aach,78267
Aach,54298
Aachen,52062
Aachen,52064
Aachen,52066
Aachen,52068
Aachen,52070
Aachen,52072
Aachen,52074
Aachen,52076
Aachen,52078
Aachen,52080
Aalen,73430
Aalen,73431
Aalen,73432
Aalen,73433
Aalen,73434
Aarbergen,65326
Aasbüttel,25560
Abenberg,91183
Abensberg,93326
Abentheuer,55767
Absberg,91720
Abstatt,74232
Abtsbessingen,99713
Abtsgmünd,73453
Abtsteinach,69518
Abtswind,97355
Abtweiler,55568
Achberg,88147
Achern,77855
Achim,28832
Achslach,94250
Achstetten,88480
Acht,56729
Achtelsbach,55767
Achterwehr,24239
Achtrup,25917
Adelberg,73099
Adelebsen,37139
Adelheidsdorf,29352
Adelmannsfelden,73486
Adelschlag,85111
Adelsdorf,91325
Adelsheim,74740
Adelshofen,91587
Adelshofen,82276
Adelsried,86477
Adelzhausen,86559
Adenau,53518
Adenbach,67742
Adenbüttel,38528
Adendorf,21365
Adlkofen,84166
Admannshagen-Bargeshagen,18211
Adorf/Vogtland,08626
Aebtissinwisch,25572
Aerzen,31855
Affalterbach,71563
Affing,86444
Affinghausen,27257
Affler,54689
Agathenburg,21684
Agethorst,25560
Aglasterhausen,74858
Aham,84168
Ahaus,48683
Ahausen,27367
Ahlbeck,17375
Ahlden,29693
Ahlefeld-Bistensee,24358
Ahlen,59227
Ahlen,59229
Ahlerstedt,21702
Ahlsdorf,06313
Ahlstädt,98553
Ahnatal,34292
Ahneby,24996
Ahnsbeck,29353
Ahnsen,31708
Aholfing,94345
Aholming,94527
Ahorn,74744
Ahorn,96482
Ahorntal,95491
Ahrbrück,53506
Ahrensbök,23623
Ahrensburg,22926
Ahrensfelde,16356
Ahrenshagen-Daskow,18320
Ahrenshöft,25853
Ahrenshoop,18347
Ahrenviöl,25885
Ahrenviölfeld,24896
Ahrenviölfeld,25885
Aichach,86551
Aicha vorm Wald,94529
Aichelberg,73101
Aichen,86479
Aichhalden,78733
Aichstetten,88317
Aichtal,72631
Aichwald,73773
Aidenbach,94501
Aidhausen,97491
Aidlingen,71134
Aiglsbach,84089
Ailertchen,56459
Aindling,86447
Ainring,83404
Aislingen,89344
Aiterhofen,94330
Aitern,79677
Aitrach,88319
Aitrang,87648
Aken (Elbe),06385
Aken (Elbe),06386
Aland,39615
Albaching,83544
Albbruck,79774
Albersdorf,25767
Albersdorf,07646
Albershausen,73095
Albersweiler,76857
Albertshofen,97320
Albessen,66871
Albig,55234
Albisheim (Pfrimm),67308
Albsfelde,23909
Albstadt,72458
Albstadt,72459
Albstadt,72461
Aldenhoven,52457
Aldersbach,94501
Aldingen,78554
Alerheim,86733
Alesheim,91793
Aletshausen,86480
Alf,56859
Alfdorf,73553
Alfdorf,73655
Alfeld,91236
Alfeld (Leine),31061
Alfhausen,49594
Alflen,56828
Alfstedt,27432
Alfter,53347
Algermissen,31191
Alheim,36211
Alken,56332
Alkersleben,99310
Alkersum,25938
Allenbach,55758
Allendorf,35108
Allendorf,56370
Allendorf,07426
Allendorf (Lumda),35469
Allenfeld,55595
Allensbach,78476
Allersberg,90584
Allershausen,85391
Alleshausen,88422
Alling,82239
Allmannshofen,86695
Allmannsweiler,88348
Allmendingen,89604
Allmersbach im Tal,71573
Allstedt,06542
Almdorf,25821
Almersbach,57610
Alpen,46519
Alpenrod,57642
Alpenrod,57647
Alperstedt,99195
Alpirsbach,72275
Alsbach,56237
Alsbach-Hähnlein,64665
Alsdorf,52477
Alsdorf,57518
Alsdorf,54668
Alsenz,67821
Alsfeld,36304
Alsheim,67577
Alsleben,06425
Altbach,73776
Alt Bennebek,24848
Alt Bukow,18233
Altdöbern,03229
Altdorf,84032
Altdorf,71155
Altdorf,72655
Altdorf,67482
Altdorf bei Nürnberg,90518
Alt Duvenstedt,24782
Alt Duvenstedt,24791
Alt Duvenstedt,24811
Altefähr,18573
Alteglofsheim,93087
Altena,58762
Altenahr,53505
Altenbamberg,55585
Altenbeken,33184
Altenberg,01773
Altenberg,01778
Altenberga,07768
Altenberge,48341
Altenbeuthen,07338
Altenbuch,97901
Altenburg,04600
Altendiez,65624
Altendorf,92540
Altendorf,96146
Altenglan,66885
Altenhagen,17091
Altenhausen,39343
Altenhof,24340
Altenhof,17209
Altenholz,24161
Altenkirchen,66903
Altenkirchen,18556
Altenkirchen (Westerwald),57610
Altenkrempe,23730
Altenkunstadt,96264
Altenmarkt an der Alz,83352
Altenmedingen,29575
Altenmoor,25335
Altenmünster,86450
Altenpleen,18445
Altenriet,72657
Altenstadt,63674
Altenstadt,86972
Altenstadt,89281
Altenstadt an der Waldnaab,92665
Altensteig,72213
Altenthann,93177
Altentreptow,17087
Alterkülz,56288
Altertheim,97237
Altfraunhofen,84169
Althegnenberg,82278
Altheim,88499
Altheim,89605
Altheim (Alb),89174
Althengstett,75382
Althornbach,66484
Althütte,71566
Althüttendorf,16247
Altkalen,17179
Alt Krenzlin,19288
Altlandsberg,15345
Altlay,56858
Altleiningen,67316
Altleiningen,67317
Altlußheim,68804
Altmannstein,93336
Altmärkische Höhe,39606
Altmärkische Höhe,39615
Altmärkische Wische,39615
Alt Meteln,19069
Altmittweida,09648
Alt Mölln,23881
Altomünster,85250
Altötting,84503
Altrich,54518
Altrip,67122
Altscheid,54636
Alt Schwerin,17214
Altshausen,88361
Altstrimmig,56858
Alt Sührkow,17166
Alt Tellin,17129
Alt Tucheband,15328
Altusried,87452
Altwarp,17375
Altweidelbach,55469
Altwigshagen,17379
Alt Zachun,19230
Alt Zauche-Wußwerk,15913
Alveslohe,25486
Alzenau,63755
Alzey,55232
Amberg,92224
Amberg,86854
Amelinghausen,21385
Amerang,83123
Amerdingen,86735
Am Ettersberg,99439
Am Großen Bruch,39393
Ammeldingen an der Our,54675
Ammeldingen bei Neuerburg,54673
Am Mellensee,15838
Ammerbuch,72119
Ammerndorf,90614
Ammersbek,22949
Ammerthal,92260
Am Ohmberg,37345
Amöneburg,35287
Amorbach,63916
Ampfing,84539
Am Salzhaff,18233
Amstetten,73340
Amt Neuhaus,19273
Amtsberg,09439
Amt Wachsenburg,99334
Amtzell,88279
Andechs,82346
Anderlingen,27446
Andernach,56626
An der Poststraße,06647
An der Schmücke,06556
An der Schmücke,06577
An der Schmücke,06578
Andervenne,49832
Andisleben,99189
Angelbachtal,74918
Angelburg,35719
Angelroda,99338
Anger,83454
Angermünde,16278
Angern,39326
Angern,39517
Anhausen,56584
Ankershagen,17219
Anklam,17389
Ankum,49577
Annaberg-Buchholz,09456
Annaburg,06925
Annweiler am Trifels,76855
Anröchte,59609
Anrode,99976
Ansbach,91522
Anschau,56729
Antdorf,82387
Antrifttal,36326
Antweiler,53533
Anzing,85646
Apelern,31552
Apen,26689
Apenburg-Winterfeld,38486
Apensen,21641
Apfeldorf,86974
Apfeltrach,87742
Apolda,99510
Appel,21279
Appen,25482
Appenheim,55437
Appenweier,77767
Arbach,56769
Arberg,91722
Aremberg,53533
Arendsee (Altmark),39619
Arenrath,54518
Arenshausen,37318
Aresing,86561
Arft,56729
Argenbühl,88260
Argenschwang,55595
Argenthal,55496
Arholzen,37627
Arkebek,25767
Arlewatt,25860
Armsheim,55288
Armstedt,24616
Armstorf,21769
Arnbruck,93471
Arneburg,39596
Arnis,24399
Arnsberg,59755
Arnsberg,59757
Arnsberg,59759
Arnsberg,59821
Arnsberg,59823
Arnschwang,93473
Arnsdorf,01477
Arnshöfen,56244
Arnstadt,99310
Arnstein,97450
Arnstein,06456
Arnstorf,94424
Arpsdorf,24634
Arrach,93474
Artern,06556
Artlenburg,21380
Arzbach,56337
Arzberg,04886
Arzberg,95659
Arzfeld,54687
Asbach,53567
Asbach,55758
Asbach-Bäumenheim,86663
Asbach-Sickenberg,37318
Ascha,94347
Aschaffenburg,63739
Aschaffenburg,63741
Aschaffenburg,63743
Aschau am Inn,84544
Aschau im Chiemgau,83229
Aschbach,67753
Ascheberg,59387
Ascheberg,24326
Ascheffel,24358
Aschersleben,06449
Aschheim,85609
Asendorf,21271
Asendorf,27330
Aspach,71546
Asperg,71679
Aspisheim,55459
Assamstadt,97959
Asselfingen,89176
Aßlar,35614
Aßling,85617
Astert,57627
Attendorn,57439
Attenhausen,56370
Attenhofen,84091
Attenkirchen,85395
Attenweiler,88448
Atting,94348
Atzelgift,57629
Au,79280
Au am Rhein,76474
Aub,97239
Aubstadt,97633
Auderath,56766
Aue-Bad Schlema,08280
Aue-Bad Schlema,08301
Auel,56357
Auen,55569
Auengrund,98673
Auenwald,71549
Auerbach,09392
Auerbach,94530
Auerbach in der Oberpfalz,91275
Auerbach/Vogtland,08209
Auetal,31749
Aufhausen,93089
Aufseß,91347
Auggen,79424
Augsburg,86150
Augsburg,86152
Augsburg,86153
Augsburg,86154
Augsburg,86156
Augsburg,86157
Augsburg,86159
Augsburg,86161
Augsburg,86163
Augsburg,86165
Augsburg,86167
Augsburg,86169
Augsburg,86179
Augsburg,86199
Augustdorf,32832
Augustusburg,09573
Auhagen,31553
Auhausen,86736
Au in der Hallertau,84072
Aukrug,24613
Aulendorf,88326
Aull,65582
Auma-Weidatal,07955
Aumühle,21521
Aura a.d.Saale,97717
Aurach,91589
Aurachtal,91086
Aura im Sinngrund,97773
Aurich,26603
Aurich,26605
Aurich,26607
Ausacker,24975
Ausleben,39393
Außernzell,94532
Auufer,25548
Auw an der Kyll,54664
Auw bei Prüm,54597
Aventoft,25927
Averlak,25715
